qSpecies,total_count,average_age_years
Lophostemon confertus :: Brisbane Box,742,19.923180592991915
Tristaniopsis laurina :: Swamp Myrtle,713,19.601683029453014
Arbutus 'Marina' :: Hybrid Strawberry Tree,476,18.067226890756302
Magnolia grandiflora :: Southern Magnolia,421,22.033254156769598
Pittosporum undulatum :: Victorian Box,401,25.793017456359102
Metrosideros excelsa :: New Zealand Xmas Tree,376,27.138297872340427
Platanus x hispanica :: Sycamore: London Plane,375,23.016
Prunus cerasifera :: Cherry Plum,291,26
Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,250,21.86
Olea europaea :: Olive Tree,207,21.405797101449274
Ginkgo biloba :: Maidenhair Tree,200,18.185
Eriobotrya deflexa :: Bronze Loquat,199,17.798994974874372
Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',186,33.17204301075269
Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',177,17.73446327683616
Maytenus boaria :: Mayten,164,29.390243902439025
Prunus serrulata :: Ornamental Cherry,162,21.061728395061728
Melaleuca quinquenervia :: Cajeput,138,21.905797101449274
Pyrus calleryana :: Ornamental Pear,136,21.485294117647058
Pyrus kawakamii :: Evergreen Pear,135,22.992592592592594
Lagunaria patersonii :: Primrose Tree,132,12.780303030303031
Tristania conferta ::,108,23.38888888888889
Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,107,11.925233644859814
Ulmus parvifolia :: Chinese Elm,90,20.58888888888889
Callistemon citrinus :: Lemon Bottlebrush,87,33.827586206896555
Agonis flexuosa :: Peppermint Willow,87,17.79310344827586
Magnolia grandiflora 'Samuel Sommer' :: Samuel Sommer Magnolia,80,13.8125
Corymbia ficifolia :: Red Flowering Gum,78,28.525641025641026
Ligustrum lucidum :: Glossy Privet,76,32.4078947368421
Laurus nobilis :: Sweet Bay: Grecian Laurel,74,15.554054054054054
Callistemon viminalis :: Weeping Bottlebrush,71,23.549295774647888
Acer rubrum :: Red Maple,71,14.28169014084507
Acacia melanoxylon :: Blackwood Acacia,69,22.855072463768117
Phoenix canariensis :: Canary Island Date Palm,67,27.402985074626866
Washingtonia robusta :: Mexican Fan Palm,64,21.515625
Syagrus romanzoffianum :: Queen Palm,55,22.254545454545454
Jacaranda mimosifolia :: Jacaranda,54,16.98148148148148
Liquidambar styraciflua :: American Sweet Gum,53,26.150943396226417
Pyrus calleryana 'Aristocrat' :: Aristocrat Callery Pear,51,19.176470588235293
Cordyline australis :: Dracena Palm,50,18.1
Platanus x hispanica 'Yarwood' :: Yarwood Sycamore,49,19
Ficus retusa nitida :: Banyan Fig,48,30.875
Acer buergeranum :: Trident Maple,48,14.979166666666666
Lyonothamnus floribundus subsp. asplenifolius :: Santa Cruz Ironwood,45,15.222222222222221
Acacia stenophylla :: Shoestring Acacia,44,11.318181818181818
Rhamnus alaternus :: Italian Buckthorn,43,21.511627906976745
Myoporum laetum :: Myoporum,43,16.046511627906977
Schinus terebinthifolius :: Brazilian Pepper,42,26.738095238095237
Arbutus unedo :: Strawberry Tree,38,21.342105263157894
Rhaphiolepis Majestic Beauty :: Indian Hawthorn  'Majestic Beau',36,24.52777777777778
Pistacia chinensis :: Chinese Pistache,36,16.5
Pinus radiata :: Monterey Pine,35,14.685714285714285
Acacia baileyana :: Bailey's Acacia,35,25.314285714285713
Quercus suber :: Cork Oak,34,17.235294117647058
Magnolia grandiflora 'Saint Mary' :: Saint Mary Magnolia,34,11.029411764705882
Geijera parviflora :: Australian Willow,33,18.242424242424242
Podocarpus gracilor :: Fern Pine,30,8.6
Ficus nitida :: Laurel Fig,30,26.566666666666666
Acer rubrum 'Red Sunset' :: Red Swamp Maple,30,17.233333333333334
Quercus agrifolia :: Coast Live Oak,29,17.379310344827587
Pittosporum crassifolium :: Karo Tree,29,21.862068965517242
Ulmus parvifolia 'Drake' :: Drake's Chinese Elm,26,13.692307692307692
Prunus x yedoensis :: Yoshino Cherry,26,21.653846153846153
Olea europaea 'Fruitless' :: Fruitless Olive,26,8.961538461538462
Olea europaea 'Wilsonii' :: Wilson Olive Semi-fruitless,25,7.6
Afrocarpus gracilior :: Fern Pine,25,19.24
Ginkgo biloba 'Autumn Gold' :: Ginkgo: Autumn Gold,24,8.958333333333334
Ficus microcarpa :: Chinese Banyan,23,26.782608695652176
Crataegus phaenopyrum :: Washington Hawthorn,23,18.434782608695652
Trachycarpus fortunei :: Windmill Palm,22,21.318181818181817
Eucalyptus polyanthemos :: Silver Dollar Eucalyptus,22,28.227272727272727
Ceratonia siliqua :: Carob,21,25.571428571428573
Hymenosporum flavum :: Sweet Shade,20,20.15
Leptospermum scoparium :: New Zealand Tea Tree,19,23.42105263157895
Eucalyptus sideroxylon :: Red Ironbark,19,28.210526315789473
Podocarpus macrophyllus :: Yew Pine,18,20.77777777777778
Acer x freemanii :: Freeman Maple,18,24.38888888888889
Crataegus laevigata :: English Hawthorn,17,23.470588235294116
Ceanothus 'Ray Hartman' :: California Lilac 'Ray Hartman',17,10.705882352941176
Melaleuca linariifolia :: Flaxleaf Paperbark,16,18.375
Prunus blireiana :: Flowering Plum,15,28.6
Platanus x hispanica 'Columbia' :: Columbia Hybrid Plane Tree,15,9.866666666666667
Melaleuca ericifolia :: Heath Melaleuca,15,24.2
Magnolia grandiflora 'Russet' :: Russet Magnolia,15,17.066666666666666
Leptospermum laevigatum :: Australian Tea Tree,15,18
Hymenosporum flavum :: Sweetshade,15,16.4
Acer rubrum 'Armstrong' :: Armstrong Red Maple,15,8.666666666666666
Yucca gloriosa :: Spanish Dagger,14,17.857142857142858
Pyrus calleryana 'Chanticleer' :: Ornamental Pear Tree 'Chanticleer',14,13
Olea europaea 'Majestic Beauty' :: Majestic Beauty Fruitless Olive,14,7.285714285714286
Melaleuca nesophila :: Pink Melaleuca,14,23.357142857142858
Quercus ilex :: Holly Oak,13,18.153846153846153
Pyrus calleryana 'New Bradford' :: New Bradford Pear,12,13.916666666666666
Magnolia doltsopa :: Himalayan Magnolia,12,16.916666666666668
Fraxinus oxycarpa 'Raywood' :: Raywood Ash,12,16.916666666666668
Cupressus macrocarpa :: Monterey Cypress,12,9.75
Pinus canariensis :: Canary Island Pine,11,16.818181818181817
Ginkgo biloba 'Fairmont' :: Fairmont Ginkgo,11,21.727272727272727
Fraxinus americana 'Autumn Purple' :: American Autumn Purple Ash,11,17
Cupaniopsis anacardioides :: Carrotwood,11,21.636363636363637
Acer palmatum :: Japanese Maple,11,18.545454545454547
Acacia baileyana 'Purpurea' :: Purple-leaf Acacia,11,12.818181818181818
Schinus molle :: California Pepper,10,21.3
Koelreuteria paniculata :: Golden Rain Tree,10,17.8
Juniperus chinensis :: Juniper,10,20.4
Fraxinus spp :: Ash Spp,10,28.2
Dodonaea viscosa :: Hop Bush,10,23.2
Rhaphiolepis indica :: India Hawthorn,9,27.22222222222222
Prunus cerasifera 'Krauter vesuvius' :: Purple Leaf Plum Krauter Vesuvius,9,13.666666666666666
